Control1 Control2 Control3 Treatment1 Treatment2 Treatment3
245011_at 118.196420760244 335.311487440098 59.378736591807 183.603941935450 112.748222716262 11.9908564001263
245012_at 1328.65305372871 1305.80193111123 856.509071910016 1131.34205310423 1177.75090315883 1505.72062846897
245013_at 7744.74067536964 5515.51408424563 5935.82380499969 6061.53858596811 6708.72609000675 7654.76050783924
245014_at 7683.97645107352 6357.33135489768 4385.4908227936 6356.5294084024 7009.69189409857 7085.78268262884
245015_at 322.112128947959 267.026927933249 478.14788185540 778.019135523646 261.093705492432 456.551863018925
245016_at 1321.82162719083 1300.27843973634 733.002340530256 1400.51204796188 1077.17518167193 1032.52084129252
245017_at 1113.81957790443 1085.74972581607 585.382849675223 1126.12253966209 802.94120055577 901.539740917627
245018_at 1214.53461095559 1063.96646482662 890.172259620626 1238.50648773159 1059.34128263692 1371.96229031919
245019_at 2307.38325711468 2075.45767298604 1274.59986280987 2054.30365234560 1936.07094984127 2671.64869552751
245020_at 2883.43668810458 2294.20328424675 1860.51431629989 2485.49512190634 2173.19816565704 2806.67010237781
245021_at 1139.29765279387 1226.49874053310 839.7555512996 1157.70023192827 1032.79809762416 1016.55843060956
245022_at 401.656254742112 688.049341634897 282.687998065656 208.174948928730 361.346017062032 531.656594112129
245023_at 2854.86231142499 2740.95947319036 2120.56432004411 2632.27587100554 2402.41265344486 2826.22691542740
245024_at 5425.25023106411 4639.37078300546 4038.89689796455 6460.35103970644 4531.45740955387 4643.65657091152
245025_at 1030.18765043801 996.87327660046 524.22360648573 1058.89547553925 1128.14747083974 1153.93987609922
245026_at 551.107808145023 650.299219502053 413.491327729029 588.26965831086 409.10453081318 759.728470805983
245027_at 184.75905085051 266.420660484710 426.508350446277 269.707761412453 208.354875836264 134.225899209984
245028_at 426.912829410011 346.329002439732 455.692242735135 826.098139547887 335.481650466864 867.26911256073
245029_at 28.8053330129641 110.659201587012 45.0314213358386 22.9584601726993 23.2709887704005 13.7106930914147
245030_at 4.23408464901549 194.723224505277 34.8879350151513 93.2235218211863 32.953735660856 10.517958682553
245031_at 268.031232479637 260.196641182307 480.42830481159 424.047971488086 217.780509435171 155.913597500239
245032_at 49.6935196515491 82.0009269353243 26.2388863783809 79.4089565052226 17.3952906046251 10.7498353459306
245033_at 34.0716472708612 178.312023447306 39.7470649766168 116.885255664566 56.4768683640285 30.8956884271742
245034_at 103.183287635157 22.6655244666663 57.1458330191549 309.997450704079 135.087675673537 26.5668527116983
245035_at 2072.78564646813 1829.01338089485 3552.5418640532 2341.52148545328 3875.6477753482 2758.74490798749
245036_at 170.171299895246 378.460568785295 314.017787241757 358.931374042941 163.275188838013 298.978542543154
245037_at 81.6937848057864 135.231168251458 199.579385630978 341.45622829332 92.5038402223518 182.705694691965
245038_at 8436.0287177911 4424.58446412138 2105.51484173284 2231.22959371746 3999.39362286209 2039.50833580129
245039_at 1053.43437261141 1019.70494158170 770.501038073797 873.80163107643 1305.11011868010 896.904909191974
245040_at 37.7206172401094 17.6331914773549 33.7939125431933 48.2952110794648 81.3855264660136 12.2307668238343
245041_at 1065.01633951758 898.48168306377 571.911044063197 675.909323776491 613.236481889229 621.175602521279
245042_at 134.287579594376 11.2728955633163 272.519568317479 161.788856633236 134.286901136847 162.547157171753
245043_at 1194.70474660757 1094.39564825398 701.462152880565 933.228667624397 785.291866276003 1106.84658698213
245044_at 607.196606749104 457.332419571266 515.414258734787 467.634943956304 344.998531826122 502.976832888689
245045_at 1427.49952607246 1580.76362150727 1419.86662132761 1493.21014054410 1443.42468586766 1217.09753450076
245046_at 1893.06394831980 1684.78603962703 1534.68415384236 1290.24956872043 1654.00427902437 1701.35860299933
245047_at 434.302937067694 784.807912457088 731.119745843451 477.048648668841 299.390652314348 739.122138260243
245048_at 7579.55942557904 8207.52662459881 4010.27472044875 7494.31378625491 6937.8444763121 7432.7795751691
245049_at 203.283365237911 90.5010605374871 53.0022601582861 318.396988708194 196.019997093664 99.2462842146558
245050_at 2577.95998576248 2061.96613015681 1282.19475106491 1998.00461563652 2189.66564587919 2118.41912703698
245051_at 1346.61270518050 932.566399045368 849.411048053982 1793.82582453220 1465.37151693891 1270.83735490143
245052_at 243.461729589248 418.998561232058 275.404529604513 311.094784045760 269.943431045713 182.062222145456
245053_at 83.4140905368856 90.3553687917687 286.723056431216 271.41823539551 87.5814206096208 34.7738693796804
245054_at 401.014778117356 196.185986146717 163.992440875017 230.639350977000 395.166149564524 377.597374693073
245055_at 239.00408795698 250.176169229886 383.075906427335 234.857783996537 189.798258399846 179.363215488536
245056_at 479.994316647153 604.377572228995 348.901545795297 365.551540211357 493.697625869541 587.456178642142
245057_at 12.4160398025622 104.608689754734 107.331371675637 25.5904267336062 103.604506779142 77.4597429432902
245058_at 5.58691655020294 83.958027667331 17.6729881304096 31.9320364456663 4.21903225853439 94.4705967040786
245059_at 529.032002113785 561.867907264825 516.499285678855 402.439764437384 523.249994111068 723.320717205387
245060_at 1504.1849213284 1539.26630504792 1552.20920562397 1418.18969163881 1390.84775301712 1340.12034732897
245061_at 711.606065184552 756.988356808607 689.628248371383 714.654542702786 606.474664081806 693.273132979035
245062_at 750.737738942281 546.470459631892 787.499116692515 782.98046509836 813.72557420073 698.755169959443
245063_at 385.806705665971 283.555639974831 727.60803379689 731.287957241367 682.214460428029 243.791053645282
245064_at 244.771190726466 232.799434466914 332.905503079988 571.116857631496 164.332231317509 393.655870881331
245065_at 666.634766397155 683.80689016826 737.050816838605 186.896695094194 692.242650298682 599.455437908717
245066_at 564.440919217363 709.566106076619 505.363100784657 560.675400362286 573.42776473782 599.704053310748
245067_at 2793.787697973 2702.04773775272 2681.49579440570 2424.93379273939 2358.96281374817 2772.14700503867
245068_at 85.0393668526916 36.6838409664172 83.1642768725774 44.9003437212701 19.3390169657320 6.6479549160176
245069_at 20.2767250733079 124.095613677309 51.663252404632 221.596238063062 3.44613197166284 24.7736197080043
245070_at 6.41980481094204 29.2245969726559 16.0511418195313 27.5283681036751 8.24635888794423 15.8852509158325
245071_at 35.4447345227276 46.5896329453455 234.264347413538 21.4497500556813 26.7003869710184 11.7296599065553
245072_s_at 18.9013770509462 16.9080874073158 23.2153601753649 324.286409213077 36.7937768806466 115.707658176479
245073_at 7.39140782627266 33.5578915023904 50.6733810415668 157.369984262942 6.84621746840012 119.349075100915
245074_at 223.183679652926 312.526931982243 217.649017418865 322.613021987327 159.529846560281 131.660098513254
245075_at 13.2953227722801 98.9742553264676 42.1289224118761 17.5604586743735 24.9503768245114 12.1761288814808
245076_at 206.95316229297 54.0197718467192 177.368444141173 270.777002465638 420.383223983508 194.604318640204
245077_at 57.0709579624577 377.721643111231 223.141787018214 62.4025398838168 23.0749905992528 216.998341380293
